"se_MLE_beta1" "se_MLE_beta2" "se_MLE_gama1" "se_MLE_lambda1"
0.0462933341388169 0.10685711942673 0.0999264176188103 1.21066926550087
0.0509487182824825 0.105604922321021 0.115807816159721 0.731581287605691
0.0505784241309516 0.102439491961629 0.10708216782743 0.56630390327262
0.0550110677529797 0.103468984333511 0.118545784806427 0.489194935112864
0.0474144297700361 0.101477422346893 0.11145015874003 0.798301518882726
0.0538192965757563 0.113391592408802 0.102904782524156 0.55017820871903
0.0515320185022242 0.103002250870257 0.110251878773636 0.557546026792955
0.051231596256797 0.103871889289884 0.111077721857478 0.58829491894446
0.042572618967374 0.092847535342981 0.106895214717495 0.727196128852279
0.0572830940523509 0.108902814965254 0.114678859791047 0.486415612845373
0.05108539558186 0.110680683564932 0.105837557854976 0.704857414883912
0.0568389733140732 0.117514749884515 0.101444169035363 0.475061396955421
0.0520138436671562 0.105321695774882 0.103924116084963 0.490289219140504
0.0532695529144278 0.106490832305727 0.113613231825043 0.556578765881742
0.0538039808269122 0.104468257669106 0.113360433449607 0.443507344978189
0.0435300424103703 0.0973637805256913 0.105342901870505 0.931534515857424
0.0454908453938215 0.103777477551306 0.104896509441553 1.56605943823366
0.0500743365471544 0.0985057562933145 0.130337373782865 0.730832302362167
0.0429891094038794 0.0946478392932263 0.133810984095935 2.08620948530676
0.0473964093921652 0.105743448578708 0.0951333480347058 0.610180517476226
0.0476339473062136 0.104662627098096 0.111078472939558 0.739330388908413
0.0497223540064899 0.114572466057638 0.0956964595461772 0.899833986943519
0.0481465004189248 0.107596935321051 0.104802732161209 1.44621621944346
0.0588751898227118 0.11763809217921 0.107077583179642 0.536366178510703
0.0464547147810054 0.0867965543700611 0.1200323152294 0.482115162389716
0.0563333151493647 0.109304483919075 0.113314083064115 0.5328375772797
0.0502320309616874 0.111314038906333 0.101468616452849 0.864788552384733
0.0507233015947332 0.10357482643876 0.112185274392306 0.642804281814682
0.0481649448316813 0.108158631731464 0.0992555446430359 0.601637938680427
0.0441222610491225 0.0995871087058295 0.0938349754250718 0.689398270482771
0.0460192371871058 0.106420598254979 0.104797335721708 1.27861786125538
0.0474893926577312 0.104848980493085 0.102247845047522 0.71763276949194
0.0545897052614821 0.104817635272261 0.128246121244964 0.65220097051035
